law_id,title,candidate_grade,pending_items,events_total,events_dv_html,events_dv_pdf,events_unlocated,events_dv_offline,pdf_pages_estimate,base_source,dv_identifier
naredba-19-ot-28-dekemvri-2001-g-za-kontrol-i-priemane-na-kadastralnata-karta-i-,НАРЕДБА № 19 ОТ 28 ДЕКЕМВРИ 2001 Г. ЗА КОНТРОЛ И ПРИЕМАНЕ НА КАДАСТРАЛНАТА КАРТА И КАДАСТРАЛНИТЕ РЕГИСТРИ,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,4,dv_pdf,
naredba-19-ot-3-oktomvri-2000-g-za-ekspertizata-na-invalidnostta-pri-detsata-do-,НАРЕДБА № 19 ОТ 3 ОКТОМВРИ 2000 Г. ЗА ЕКСПЕРТИЗАТА НА ИНВАЛИДНОСТТА ПРИ ДЕЦАТА ДО 16-ГОДИШНА ВЪЗРАСТ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-19-ot-31-avgust-2022-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-r,"НАРЕДБА № 19 ОТ 31 АВГУСТ 2022 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""РАБОТНИК В ХРАНИТЕЛНО-ВКУСОВАТА ПРОМИШЛЕНОСТ""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-177821
naredba-19-ot-5-may-2004-g-za-proizvodstvo-i-targoviya-na-posadachen-material-ot,НАРЕДБА № 19 ОТ 5 МАЙ 2004 Г. ЗА ПРОИЗВОДСТВО И ТЪРГОВИЯ НА ПОСАДЪЧЕН МАТЕРИАЛ ОТ ЗЕЛЕНЧУКОВИ КУЛТУРИ,B-pending,events_pending;chain_scan;base_audit;freeze,12,5,0,7,0,0,dv_html,dv-20100
naredba-19-ot-6-noemvri-2007-g-za-ogranichavane-i-likvidirane-na-nyakoi-ekzotich,НАРЕДБА № 19 ОТ 6 НОЕМВРИ 2007 Г. ЗА ОГРАНИЧАВАНЕ И ЛИКВИДИРАНЕ НА НЯКОИ ЕКЗОТИЧНИ БОЛЕСТИ ПО ЖИВОТНИТЕ И МЕРКИТЕ СРЕЩУ ВЕЗИКУЛОЗНАТА БОЛЕСТ ПО СВИНЕТЕ,B-pending,events_pending;chain_scan;base_audit;freeze,2,1,0,1,0,0,dv_html,dv-4437
naredba-19-ot-6-oktomvri-2025-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-,"НАРЕДБА № 19 ОТ 6 ОКТОМВРИ 2025 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""БЕЗПИЛОТНИ ЛЕТАТЕЛНИ АПАРАТИ""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-237832
naredba-19-ot-6-yuli-2023-g-za-funktsionirane-na-edinnata-sistema-za-grazhdansko,НАРЕДБА № 19 ОТ 6 ЮЛИ 2023 Г. ЗА ФУНКЦИОНИРАНЕ НА ЕДИННАТА СИСТЕМА ЗА ГРАЖДАНСКО И ВОЕННО УПРАВЛЕНИЕ НА ВЪЗДУШНОТО ПРОСТРАНСТВО,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-197168
naredba-19-ot-7-yuli-1998-g-za-usloviyata-i-reda-za-litsenzirane-na-sortoizpitva,НАРЕДБА № 19 ОТ 7 ЮЛИ 1998 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ЛИЦЕНЗИРАНЕ НА СОРТОИЗПИТВАНЕ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-19-ot-8-noemvri-2016-g-za-biologichno-izpitvane-na-produkti-za-rastiteln,НАРЕДБА № 19 ОТ 8 НОЕМВРИ 2016 Г. ЗА БИОЛОГИЧНО ИЗПИТВАНЕ НА ПРОДУКТИ ЗА РАСТИТЕЛНА ЗАЩИТА,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-109002
naredba-19-ot-8122004-g-za-pensionnite-rezervi-i-rezervite-za-garantirane-izplas,"НАРЕДБА № 19 ОТ 8.12.2004 Г. ЗА ПЕНСИОННИТЕ РЕЗЕРВИ И РЕЗЕРВИТЕ ЗА ГАРАНТИРАНЕ ИЗПЛАЩАНЕТО НА ПОЖИЗНЕНИ ПЕНСИИ (ЗАГЛ. ИЗМ. - ДВ, БР. 60 ОТ 2021 Г.)",B-pending,events_pending;chain_scan;promulgation_unlocated;freeze,4,0,0,4,0,0,unlocated,
naredba-19-ot-9-dekemvri-2004-g-za-registratsiya-na-pristanishtata-na-republika-,НАРЕДБА № 19 ОТ 9 ДЕКЕМВРИ 2004 Г. ЗА РЕГИСТРАЦИЯ НА ПРИСТАНИЩАТА НА РЕПУБЛИКА БЪЛГАРИЯ,B-pending,events_pending;chain_scan;base_audit;freeze,5,4,0,1,0,0,dv_html,dv-18104
naredba-19-ot-9-oktomvri-2018-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-,"НАРЕДБА № 19 ОТ 9 ОКТОМВРИ 2018 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""СИСТЕМЕН ПРОГРАМИСТ""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-130740
naredba-19-ot-9-yanuari-2012-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-g,"НАРЕДБА № 19 ОТ 9 ЯНУАРИ 2012 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""ГУВЕРНАНТКА""",B-pending,chain_scan;promulgation_unlocated;freeze,0,0,0,0,0,0,unlocated,
naredba-19-ot-9-yanuari-2026-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-p,"НАРЕДБА № 19 ОТ 9 ЯНУАРИ 2026 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""ПРОИЗВОДСТВО НА ЗАХАР И ЗАХАРНИ ИЗДЕЛИЯ""",B-pending,events_pending;chain_scan;base_audit;freeze,1,0,0,1,0,0,dv_html,dv-240580
naredba-19-za-prilozhenie-na-vodoraztvorimi-yodni-kontrastni-veshtestva-za-diagn,НАРЕДБА № 19 ЗА ПРИЛОЖЕНИЕ НА ВОДОРАЗТВОРИМИ ЙОДНИ КОНТРАСТНИ ВЕЩЕСТВА ЗА ДИАГНОСТИЧНИ ЦЕЛИ,B-pending,events_pending;chain_scan;base_audit;freeze,1,0,1,0,0,8,dv_pdf,
naredba-2-ot-1-fevruari-1990-g-za-usloviyata-i-reda-za-izkustveno-prekasvane-na-,НАРЕДБА № 2 ОТ 1 ФЕВРУАРИ 1990 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ИЗКУСТВЕНО ПРЕКЪСВАНЕ НА БРЕМЕННОСТ,B-pending,events_pending;chain_scan;base_audit;freeze,1,0,1,0,0,8,dv_pdf,
naredba-2-ot-1-fevruari-1999-g-za-usloviyata-i-reda-za-obezpechavane-s-tehniches,НАРЕДБА № 2 ОТ 1 ФЕВРУАРИ 1999 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ОБЕЗПЕЧАВАНЕ С ТЕХНИЧЕСКИ ПОМОЩНИ СРЕДСТВА,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-2-ot-1-mart-2021-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-ohran,"НАРЕДБА № 2 ОТ 1 МАРТ 2021 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""ОХРАНИТЕЛ""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-156554
naredba-2-ot-1-yuli-2005-g-za-usloviyata-i-reda-za-okazvane-na-meditsinska-pomos,"НАРЕДБА № 2 ОТ 1 ЮЛИ 2005 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ОКАЗВАНЕ НА МЕДИЦИНСКА ПОМОЩ НА ЧУЖДЕНЦИТЕ, КОИТО НЕ СЕ ПОЛЗВАТ С ПРАВАТА НА БЪЛГАРСКИТЕ ГРАЖДАНИ",B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-576
naredba-2-ot-1-yuli-2019-g-za-reda-za-vodene-na-registara-na-narodnite-chitalish,НАРЕДБА № 2 ОТ 1 ЮЛИ 2019 Г. ЗА РЕДА ЗА ВОДЕНЕ НА РЕГИСТЪРА НА НАРОДНИТЕ ЧИТАЛИЩА И НА ЧИТАЛИЩНИТЕ СДРУЖЕНИЯ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-139399
naredba-2-ot-10-mart-2020-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-rest,"НАРЕДБА № 2 ОТ 10 МАРТ 2020 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""РЕСТОРАНТЬОР""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-147007
naredba-2-ot-10-yanuari-2003-g-za-izmervane-na-korabi-plavashti-po-vatreshnite-v,"НАРЕДБА № 2 ОТ 10 ЯНУАРИ 2003 Г. ЗА ИЗМЕРВАНЕ НА КОРАБИ, ПЛАВАЩИ ПО ВЪТРЕШНИТЕ ВОДНИ ПЪТИЩА",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-100313
naredba-2-ot-11-april-2007-g-za-nagrazhdavaneto-na-balgarski-kulturni-deytsi-za-,НАРЕДБА № 2 ОТ 11 АПРИЛ 2007 Г. ЗА НАГРАЖДАВАНЕТО НА БЪЛГАРСКИ КУЛТУРНИ ДЕЙЦИ ЗА ПОСТИГНАТИ ВИСОКИ ТВОРЧЕСКИ РЕЗУЛТАТИ ИЛИ ПРИНОС В РАЗВИТИЕТО И ПОПУЛЯРИЗИРАНЕТО НА КУЛТУРАТА,B-pending,events_pending;chain_scan;base_audit;freeze,6,4,0,2,0,0,dv_html,dv-3558
naredba-2-ot-11-fevruari-2009-g-za-usloviyata-za-otglezhdane-na-kosmat-i-pernat-,"НАРЕДБА № 2 ОТ 11 ФЕВРУАРИ 2009 Г. ЗА УСЛОВИЯТА ЗА ОТГЛЕЖДАНЕ НА КОСМАТ И ПЕРНАТ ДИВЕЧ В ЖИВОТНОВЪДНИ ОБЕКТИ, СЪОБРАЗЕНИ С НЕГОВИТЕ ФИЗИОЛОГИЧЕСКИ И ПОВЕДЕНЧЕСКИ ОСОБЕНОСТИ",B-pending,events_pending;chain_scan;base_audit;freeze,1,0,0,1,0,0,dv_html,dv-16096
naredba-2-ot-11-fevruari-2010-g-za-spetsialnite-iziskvaniya-za-uchastie-v-odobre,НАРЕДБА № 2 ОТ 11 ФЕВРУАРИ 2010 Г. ЗА СПЕЦИАЛНИТЕ ИЗИСКВАНИЯ ЗА УЧАСТИЕ В ОДОБРЕНИТЕ СХЕМИ ЗА НАЦИОНАЛНИ ДОПЛАЩАНИЯ И ЗА СПЕЦИФИЧНО ПОДПОМАГАНЕ ЗА 2010 Г.,B-pending,events_pending;chain_scan;base_audit;freeze,8,4,0,4,0,0,dv_html,dv-29875
naredba-2-ot-12-avgust-2016-g-za-priemane-i-premestvane-na-uchenitsi-v-uchilisht,НАРЕДБА № 2 ОТ 12 АВГУСТ 2016 Г. ЗА ПРИЕМАНЕ И ПРЕМЕСТВАНЕ НА УЧЕНИЦИ В УЧИЛИЩАТА ПО ИЗКУСТВАТА,B-pending,events_pending;chain_scan;base_audit;freeze,7,4,0,3,0,0,dv_html,dv-106792
naredba-2-ot-12-septemvri-1990-g-za-zashtita-ot-avarii-pri-deynosti-s-opasni-him,НАРЕДБА № 2 ОТ 12 СЕПТЕМВРИ 1990 Г. ЗА ЗАЩИТА ОТ АВАРИИ ПРИ ДЕЙНОСТИ С ОПАСНИ ХИМИЧНИ ВЕЩЕСТВА,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-2-ot-13-noemvri-2014-g-za-usloviyata-i-reda-za-validirane-na-profesional,"НАРЕДБА № 2 ОТ 13 НОЕМВРИ 2014 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ВАЛИДИРАНЕ НА ПРОФЕСИОНАЛНИ ЗНАНИЯ, УМЕНИЯ И КОМПЕТЕНТНОСТИ",B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-89754
naredba-2-ot-13-septemvri-2007-g-za-opazvane-na-vodite-ot-zamarsyavane-s-nitrati,НАРЕДБА № 2 ОТ 13 СЕПТЕМВРИ 2007 Г. ЗА ОПАЗВАНЕ НА ВОДИТЕ ОТ ЗАМЪРСЯВАНЕ С НИТРАТИ ОТ ЗЕМЕДЕЛСКИ ИЗТОЧНИЦИ,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-4927
naredba-2-ot-14-april-2016-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-son,"НАРЕДБА № 2 ОТ 14 АПРИЛ 2016 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""СОНДАЖЕН ТЕХНИК""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-103279
naredba-2-ot-14-fevruari-2005-g-za-pridobivane-na-kvalifikatsiya-po-profesiya-ta,"НАРЕДБА № 2 ОТ 14 ФЕВРУАРИ 2005 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯ ""ТАПИЦЕР""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-15027
naredba-2-ot-14-yuli-2025-g-za-pravilata-za-poleti,НАРЕДБА № 2 ОТ 14 ЮЛИ 2025 Г. ЗА ПРАВИЛАТА ЗА ПОЛЕТИ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-236111
naredba-2-ot-15-avgust-2018-g-za-usloviyata-i-reda-za-osashtestvyavane-na-operat,"НАРЕДБА № 2 ОТ 15 АВГУСТ 2018 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ОСЪЩЕСТВЯВАНЕ НА ОПЕРАТИВНО-ИЗДИРВАТЕЛНАТА ДЕЙНОСТ ЧРЕЗ ГЛАСНИ И НЕГЛАСНИ МЕТОДИ И СРЕДСТВА ОТ ОРГАНИТЕ ПО ЧЛ. 16, АЛ. 2 ОТ ЗАКОНА ЗА ПРОТИВОДЕЙСТВИЕ НА КОРУПЦИЯТА И ЗА ОТНЕМАНЕ НА НЕЗАКОННО ПРИДОБИТОТО ИМУЩЕСТВО (СЕКРЕТНО)",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-129523
naredba-2-ot-15-mart-2002-g-za-usloviyata-i-reda-za-utvarzhdavane-na-transportni,"НАРЕДБА № 2 ОТ 15 МАРТ 2002 Г. ЗА УСЛОВИЯТА И РЕДА ЗА УТВЪРЖДАВАНЕ НА ТРАНСПОРТНИ СХЕМИ И ЗА ОСЪЩЕСТВЯВАНЕ НА ОБЩЕСТВЕНИ ПРЕВОЗИ НА ПЪТНИЦИ С АВТОБУСИ (ЗАГЛ. ИЗМ. - ДВ, БР. 44 ОТ 2011 Г.)",B-pending,events_pending;chain_scan;base_audit;freeze,4,0,0,4,0,4,dv_pdf,
naredba-2-ot-15-mart-2007-g-za-usloviyata-i-reda-za-odobryavane-na-organizatsiit,"НАРЕДБА № 2 ОТ 15 МАРТ 2007 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ОДОБРЯВАНЕ НА ОРГАНИЗАЦИИТЕ, КОИТО ОБУЧАВАТ МЕДИАТОРИ; ЗА ИЗИСКВАНИЯТА ЗА ОБУЧЕНИЕ НА МЕДИАТОРИ; ЗА РЕДА ЗА ВПИСВАНЕ, ОТПИСВАНЕ И ЗАЛИЧАВАНЕ НА МЕДИАТОРИ ОТ ЕДИННИЯ РЕГИСТЪР НА МЕДИАТОРИТЕ И ЗА ПРОЦЕДУРНИТЕ И ЕТИЧНИ ПРАВИЛА ЗА ПОВЕДЕНИЕ НА МЕДИАТОРА",B-pending,events_pending;chain_scan;base_audit;freeze,3,3,0,0,0,0,dv_html,dv-3465
naredba-2-ot-16-mart-1999-g-za-izdavane-na-individualni-litsenzii-za-izgrazhdane,"НАРЕДБА № 2 ОТ 16 МАРТ 1999 Г. ЗА ИЗДАВАНЕ НА ИНДИВИДУАЛНИ ЛИЦЕНЗИИ ЗА ИЗГРАЖДАНЕ, ПОДДЪРЖАНЕ И ИЗПОЛЗВАНЕ НА КАБЕЛНИ ДАЛЕКОСЪОБЩИТЕЛНИ МРЕЖИ ЗА РАЗПРОСТРАНЕНИЕ НА РАДИО- И ТЕЛЕВИЗИОННИ ПРОГРАМИ И ДРУГИ УСЛУГИ БЕЗ КОНКУРС ИЛИ ТЪРГ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-2-ot-17-april-2026-g-za-usloviyata-i-reda-za-prilagane-i-nablyudenie-na-,"НАРЕДБА № 2 ОТ 17 АПРИЛ 2026 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРИЛАГАНЕ И НАБЛЮДЕНИЕ НА ДЪРЖАВНИТЕ И МИНИМАЛНИТЕ ПОМОЩИ В ЗЕМЕДЕЛИЕТО, РАЗВИТИЕТО НА СЕЛСКИТЕ РАЙОНИ, ГОРСКОТО И ЛОВНОТО СТОПАНСТВО И РИБАРСТВОТО",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-242806
naredba-2-ot-17-yanuari-2001-g-za-signalizatsiya-na-patishtata-s-patna-markirovk,НАРЕДБА № 2 ОТ 17 ЯНУАРИ 2001 Г. ЗА СИГНАЛИЗАЦИЯ НА ПЪТИЩАТА С ПЪТНА МАРКИРОВКА,B-pending,events_pending;chain_scan;base_audit;freeze,5,4,0,1,0,4,dv_pdf,
naredba-2-ot-17-yanuari-2001-g-za-usloviyata-i-reda-za-pridobivane-i-priznavane-,"НАРЕДБА № 2 ОТ 17 ЯНУАРИ 2001 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРИДОБИВАНЕ И ПРИЗНАВАНЕ НА ПРАВОСПОСОБНОСТ ЗА УПРАЖНЯВАНЕ НА ПРОФЕСИЯ ПО ОБСЛУЖВАНЕ НА ПАРНИ И ВОДОГРЕЙНИ КОТЛИ (ЗАГЛ. ДОП. - ДВ, БР. 39 ОТ 2006 Г., В СИЛА ОТ 12.05.2006 Г.)",B-pending,events_pending;chain_scan;base_audit;freeze,1,0,0,1,0,4,dv_pdf,
naredba-2-ot-17-yuli-2008-g-za-usloviyata-i-reda-za-provezhdane-na-konkursite-za,НАРЕДБА № 2 ОТ 17 ЮЛИ 2008 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРОВЕЖДАНЕ НА КОНКУРСИТЕ ЗА ДИПЛОМАТИЧЕСКИ СЛУЖИТЕЛИ,B-pending,events_pending;chain_scan;base_audit;freeze,4,1,0,3,0,0,dv_html,dv-7165
naredba-2-ot-18-dekemvri-2006-g-za-usloviyata-i-reda-za-sazdavaneto-i-funktsioni,НАРЕДБА № 2 ОТ 18 ДЕКЕМВРИ 2006 Г. ЗА УСЛОВИЯТА И РЕДА ЗА СЪЗДАВАНЕТО И ФУНКЦИОНИРАНЕТО НА НАЦИОНАЛНАТА СИСТЕМА ЗА МОНИТОРИНГ НА СЪСТОЯНИЕТО НА БИОЛОГИЧНОТО РАЗНООБРАЗИЕ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-3111
naredba-2-ot-18-mart-2025-g-za-usloviyata-i-reda-za-predostavyane-na-podpomagane,"НАРЕДБА № 2 ОТ 18 МАРТ 2025 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРЕДОСТАВЯНЕ НА ПОДПОМАГАНЕ ПО ИНТЕРВЕНЦИЯТА ПО ЧЛ. 76, ПАРАГРАФ 3, БУКВА ""А"" ОТ РЕГЛАМЕНТ (ЕС) 2021/2115, КАКТО И РЕДА ЗА НАЛАГАНЕ НА АДМИНИСТРАТИВНИ САНКЦИИ",B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-233567
naredba-2-ot-18-may-2012-g-za-reda-po-koyto-telata-na-pochinali-litsa-mogat-da-s,"НАРЕДБА № 2 ОТ 18 МАЙ 2012 Г. ЗА РЕДА, ПО КОЙТО ТЕЛАТА НА ПОЧИНАЛИ ЛИЦА МОГАТ ДА СЕ ИЗПОЛЗВАТ ЗА ЦЕЛИТЕ НА ОБУЧЕНИЕТО И НАУЧНИТЕ ИЗСЛЕДВАНИЯ ВЪВ ВИСШИТЕ МЕДИЦИНСКИ УЧИЛИЩА",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-64840
naredba-2-ot-18-yuni-2003-g-za-usloviyata-i-reda-za-provezhdane-na-izpita-za-pom,НАРЕДБА № 2 ОТ 18 ЮНИ 2003 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРОВЕЖДАНЕ НА ИЗПИТА ЗА ПОМОЩНИК-НОТАРИУСИ ПО ЗАМЕСТВАНЕ,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-108306
naredba-2-ot-19-fevruari-1998-g-za-normi-za-dopustimi-emisii-kontsentratsii-v-ot,НАРЕДБА № 2 ОТ 19 ФЕВРУАРИ 1998 Г. ЗА НОРМИ ЗА ДОПУСТИМИ ЕМИСИИ (КОНЦЕНТРАЦИИ В ОТПАДЪЧНИ ГАЗОВЕ) НА ВРЕДНИ ВЕЩЕСТВА ИЗПУСКАНИ В АТМОСФЕРНИЯ ВЪЗДУХ ОТ НЕПОДВИЖНИ ИЗТОЧНИЦИ,B-pending,events_pending;chain_scan;base_audit;freeze,5,0,2,3,0,12,dv_pdf,
naredba-2-ot-19-mart-2013-g-za-regulirane-na-tsenite-na-prirodniya-gaz,НАРЕДБА № 2 ОТ 19 МАРТ 2013 Г. ЗА РЕГУЛИРАНЕ НА ЦЕНИТЕ НА ПРИРОДНИЯ ГАЗ,B-pending,events_pending;chain_scan;base_audit;freeze,11,4,0,7,0,0,dv_html,dv-74757
naredba-2-ot-19-mart-2018-g-za-usloviyata-i-reda-za-podavane-na-dokumenti-po-zak,НАРЕДБА № 2 ОТ 19 МАРТ 2018 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПОДАВАНЕ НА ДОКУМЕНТИ ПО ЗАКОНА ЗА АКЦИЗИТЕ И ДАНЪЧНИТЕ СКЛАДОВЕ ПО ЕЛЕКТРОНЕН ПЪТ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-124536
naredba-2-ot-19-septemvri-2019-g-za-priemane-na-farmako-terapevtichno-rakovodstv,НАРЕДБА № 2 ОТ 19 СЕПТЕМВРИ 2019 Г. ЗА ПРИЕМАНЕ НА ФАРМАКО-ТЕРАПЕВТИЧНО РЪКОВОДСТВО ЗА ЛЕЧЕНИЕ НА АЛЕРГИЧНИТЕ БОЛЕСТИ,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-141641
naredba-2-ot-20-mart-2025-g-za-usloviyata-i-reda-za-vodene-na-registara-za-nauch,НАРЕДБА № 2 ОТ 20 МАРТ 2025 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ВОДЕНЕ НА РЕГИСТЪРА ЗА НАУЧНОИЗСЛЕДОВАТЕЛСКАТА ДЕЙНОСТ В РЕПУБЛИКА БЪЛГАРИЯ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-233603
naredba-2-ot-20-yanuari-2004-g-za-pravilata-i-iziskvaniyata-za-sabirane-na-bilki,НАРЕДБА № 2 ОТ 20 ЯНУАРИ 2004 Г. ЗА ПРАВИЛАТА И ИЗИСКВАНИЯТА ЗА СЪБИРАНЕ НА БИЛКИ И ГЕНЕТИЧЕН МАТЕРИАЛ ОТ ЛЕЧЕБНИ РАСТЕНИЯ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-21612
naredba-2-ot-20-yanuari-2021-g-za-spetsifichnite-iziskvaniya-kam-bezopasnostta-i,"НАРЕДБА № 2 ОТ 20 ЯНУАРИ 2021 Г. ЗА СПЕЦИФИЧНИТЕ ИЗИСКВАНИЯ КЪМ БЕЗОПАСНОСТТА И КАЧЕСТВОТО НА ХРАНИТЕ, ПРЕДЛАГАНИ В ДЕТСКИТЕ ЗАВЕДЕНИЯ, УЧИЛИЩНИТЕ СТОЛОВЕ И ОБЕКТИТЕ ЗА ТЪРГОВИЯ НА ДРЕБНО НА ТЕРИТОРИЯТА НА УЧИЛИЩАТА И НА ДЕТСКИТЕ ЗАВЕДЕНИЯ, КАКТО И КЪМ ХРАНИ, ПРЕДЛАГАНИ ПРИ ОРГАНИЗИРАНИ МЕРОПРИЯТИЯ ЗА ДЕЦА И УЧЕНИЦИ",B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-155277
naredba-2-ot-20-yuni-2012-g-za-usloviyata-i-reda-za-osashtestvyavane-na-programi,"НАРЕДБА № 2 ОТ 20 ЮНИ 2012 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ОСЪЩЕСТВЯВАНЕ НА ПРОГРАМИ ЗА ЛЕЧЕНИЕ С АГОНИСТИ И АГОНИСТИ-АНТАГОНИСТИ НА ЛИЦА, ЗАВИСИМИ КЪМ ОПИОИДИ",B-pending,events_pending;chain_scan;base_audit;freeze,5,2,0,3,0,0,dv_html,dv-65815
naredba-2-ot-21-april-2005-g-za-vodeneto-i-sahranyavaneto-na-imotniya-registar,НАРЕДБА № 2 ОТ 21 АПРИЛ 2005 Г. ЗА ВОДЕНЕТО И СЪХРАНЯВАНЕТО НА ИМОТНИЯ РЕГИСТЪР,B-pending,events_pending;chain_scan;base_audit;freeze,2,2,0,0,0,0,dv_html,dv-202
naredba-2-ot-21-april-2011-g-za-zdravnite-iziskvaniya-kam-grobishtni-parkove-gro,НАРЕДБА № 2 ОТ 21 АПРИЛ 2011 Г. ЗА ЗДРАВНИТЕ ИЗИСКВАНИЯ КЪМ ГРОБИЩНИ ПАРКОВЕ (ГРОБИЩА) И ПОГРЕБВАНЕТО И ПРЕНАСЯНЕТО НА ПОКОЙНИЦИ,B-pending,events_pending;chain_scan;base_audit;freeze,2,2,0,0,0,0,dv_html,dv-49056
naredba-2-ot-21-fevruari-2011-g-za-spetsialnite-iziskvaniya-za-uchastie-v-odobre,НАРЕДБА № 2 ОТ 21 ФЕВРУАРИ 2011 Г. ЗА СПЕЦИАЛНИТЕ ИЗИСКВАНИЯ ЗА УЧАСТИЕ В ОДОБРЕНИТЕ СХЕМИ ЗА НАЦИОНАЛНИ ДОПЛАЩАНИЯ И ЗА СПЕЦИФИЧНО ПОДПОМАГАНЕ,B-pending,events_pending;chain_scan;base_audit;freeze,11,7,0,4,0,0,dv_html,dv-45619
naredba-2-ot-21-yanuari-2002-g-za-finansovo-podpomagane-na-sdruzheniyata-za-napo,НАРЕДБА № 2 ОТ 21 ЯНУАРИ 2002 Г. ЗА ФИНАНСОВО ПОДПОМАГАНЕ НА СДРУЖЕНИЯТА ЗА НАПОЯВАНЕ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
